"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Absolutely Clean Agency San Diego","Oksana","absolutelycleanagency@gmail.com","(858) 952-9402","San Diego","San Diego","CA","Residential","https://absolutelycleanagency.com/","Yes","Email","Running a cleaning company in San Diego — 2-minute ask","Hi Oksana,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Diego and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on contact page footer; Oksana listed as owner in reviews"
"Angel’s Hands","Unknown","","(619) 992-1735","Chula Vista","San Diego","CA","Residential","https://www.angelshandscleaning.com/","No","Phone","","","House cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on homepage; contact page has form only, no public email"
"AWSM Cleaners","Unknown","team@awsmcleaners.com","(619) 404-0612","Chula Vista","San Diego","CA","Residential","https://awsmcleaners.com/","Yes","Email","Not a sales pitch — feedback ask for AWSM Cleaners","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Chula Vista and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator like... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on contact page footer"
"Bravo Maids","Jason","hello@bravomaids.com","(619) 853-3200","San Diego","San Diego","CA","Residential","https://bravomaids.com/","Yes","Email","Running a cleaning company in San Diego — 2-minute ask","Hi Jason,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Diego and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on site footer; Jason Ellis listed as founder on About page"
"Call the Helper LLC","Oscar","admin@cleaningsvcchulavistaca.com","(619) 738-4060","Chula Vista","San Diego","CA","Residential","https://cleaningsvcchulavistaca.com/","Yes","Email","Quick question for Call the Helper LLC","Hi Oscar,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Chula Vista and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator like... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email on contact page; Oscar Ramirez listed as founder in About page schema"
"Chula Vista Cleaning Service","Unknown","chulavistacleaningservice@gmail.com","(858) 786-6396","Chula Vista","San Diego","CA","Residential","http://chulavistacleaningservice.com/","Yes","Email","Not a sales pitch — feedback ask for Chula Vista Cleaning Service","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Chula Vista and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator like... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Chula Vista Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on homepage footer"
"Clean Freak Cleaning Services","Unknown","info@cleanfreakcleaningservices.com","(619) 634-5141","San Diego","San Diego","CA","Residential","https://www.cleanfreakcleaningservices.com/","Yes","Email","Running a cleaning company in San Diego — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Diego and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on About page"
"Clean Me Up Scotty","Unknown","czr@cleanmeupscottysd.com","(619) 821-5338","San Diego","San Diego","CA","Residential","https://www.cleanmeupscottysd.com/","Yes","Email","Quick question for Clean Me Up Scotty","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Diego and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on homepage contact section"
"CleaningSdCa","Unknown","","(619) 995-1700","San Diego","San Diego","CA","Both","https://cleaningsdca.com/","No","Phone","","","Cleaners found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on contact page; no public email found"
"Cleanology Housekeeping Personnel Service","Unknown","info@cleanologysd.com","(619) 281-2532","San Diego","San Diego","CA","Residential","https://www.cleanologysd.com/","Yes","Email","Quick question for Cleanology Housekeeping Personnel Service","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Diego and San Diego County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the San Diego Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on contact page footer"
