"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"360clean Atlanta","Unknown","","(866) 572-3964","Atlanta","Fulton","GA","Commercial","https://360clean.com/locations/atlanta-ga/","No","Phone","","","Active local Google Maps listing; website included when publicly listed. | National franchise location page; toll-free phone and quote form; no local email on contact/footer"
"AllyMaids","Unknown","info@allymaids.com","(404) 841-7040","Atlanta","Fulton","GA","Residential","https://www.allymaids.com/","Yes","Email","Quick question for AllyMaids","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page footer"
"Amazon Cleaning","Unknown","sales@amazoncleaning.net","(770) 906-4001","Atlanta","Fulton","GA","Residential","https://amazoncleaning.net/","Yes","Email","Not a sales pitch — feedback ask for Amazon Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Sales email and phone on contact page"
"Amy's Angels Cleaning","Unknown","","(706) 912-5902","Atlanta","Fulton","GA","Residential","https://www.amysangelscleaning.com/atlantacleaningservices","No","Phone","","","Active local Google Maps listing; website included when publicly listed. | Phone on Atlanta services page; contact form only, no public email"
"Ansley Home Cleaning","Jordana","customerservice@ansleyhomecleaning.com","(404) 474-1933","Atlanta","Fulton","GA","Residential","https://ansleyhomecleaning.com/","Yes","Email","Quick question for Ansley Home Cleaning","Hi Jordana,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Jordana Carlan on site; email and phone in footer"
"ATL Clean","Unknown","info@atlclean.com","(404) 390-4082","Atlanta","Fulton","GA","Residential","http://www.atlclean.com/","Yes","Email","Not a sales pitch — feedback ask for ATL Clean","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone in site header/footer"
"Atlanta Cleaning Geeks","Unknown","","(404) 267-1394","Atlanta","Fulton","GA","Residential","https://atlantacleaninggeeks.com/","No","Phone","","","Active local Google Maps listing; website included when publicly listed. | Phone on homepage; online booking form, no public email"
"Atlanta Cleaning Source","Unknown","info@atlantacleaningsource.com","(404) 642-6620","Atlanta","Fulton","GA","Residential","http://www.atlantacleaningsource.com/","Yes","Email","Quick question for Atlanta Cleaning Source","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone in site header"
"Atlanta Green Maids","Unknown","support@atlantagreenmaids.com","(678) 653-0541","Atlanta","Fulton","GA","Residential","https://www.atlantagreenmaids.com/","Yes","Email","Running a cleaning company in Atlanta — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Support email on homepage; phone on contact page"
"Atlanta Maids","Unknown","info@atlantamaids.com","(404) 905-5141","Atlanta","Fulton","GA","Residential","https://atlantamaids.com/","Yes","Email","Quick question for Atlanta Maids","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Atlanta and Fulton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email in footer; phone on homepage"
