"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Amazing Squad","Unknown","info@amazingsquad.org","(407) 653-0680","Orlando","Orange","FL","Residential","https://www.amazingsquad.org/","Yes","Email","Running a cleaning company in Orlando — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Women-owned local operator; email and phone in site schema/footer; no owner name on contact/about"
"Army of Maids","Unknown","","(407) 205-2769","Orlando","Orange","FL","Residential","http://www.armyofmaids.com/","No","Phone","","","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone and Winter Park address on contact page; email contact form only, no public email"
"Bluewater House Cleaning - Orlando","Unknown","","(689) 600-1404","Orlando","Orange","FL","Residential","https://bluewaterhousecleaning.com/","No","Phone","","","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Orlando phone on homepage; estimate form only, no public email in footer"
"Breathe Maids","Brunson","support@breathemaids.com","(407) 974-7926","Orlando","Orange","FL","Residential","https://breathemaids.com/orlando/","Yes","Email","Running a cleaning company in Orlando — 2-minute ask","Hi Brunson,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Local franchise operator; ownership... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Local franchise operator; ownership details require enrichment. | Founder Brunson Sayes on Orlando about page; support email and phone in footer/schema"
"Clean Mess Repeat","Unknown","","(321) 240-9629","Orlando","Orange","FL","Residential","https://www.cmrcleaningservices.com/","No","Phone","","","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone in site schema; online estimate booking, no public email on contact/footer"
"Cleanex Cleaning Services LLC","Unknown","cleanexcleaningservicesllc@gmail.com","(321) 977-9404","Orlando","Orange","FL","Residential","http://www.cleanexcleaningservices.com/","Yes","Email","Not a sales pitch — feedback ask for Cleanex Cleaning Services LLC","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on homepage footer/contact section"
"Covenant Cleaning Services","Shelley","info@covenantcleaningorlando.com","(407) 282-2250","Orlando","Orange","FL","Residential","https://www.covenantcleaningorlando.com/","Yes","Email","Running a cleaning company in Orlando — 2-minute ask","Hi Shelley,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Owner Shelley named on about page; email and phone on contact page"
"Dean of Clean","Unknown","info@deanofcleanfl.com","(407) 743-7672","Orlando","Orange","FL","Residential","https://www.deanofcleanfl.com/","Yes","Email","Quick question for Dean of Clean","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone in site schema; contact form on homepage"
"Edna Cleaning Services – Standard & Deep Cleaning","Edna","edna@ednacleaning.com","(321) 352-4466","Orlando","Orange","FL","Residential","http://ednacleaning.com/","Yes","Email","Not a sales pitch — feedback ask for Edna Cleaning Services – Standard & Deep Cleaning","Hi Edna,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Orlando and Orange County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Edna named on site/testimonials; email in schema; Orlando tel link on homepage"
"Enviro-Master of Orlando","Andrew","","(321) 340-2924","Orlando","Orange","FL","Commercial","https://enviro-master.com/commercial-cleaning-locations/orlando-florida/","No","Phone","","","Cleaning service found in the Orlando Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Local owner Andrew Martin on Orlando location page; phone in header, quote form only"
