"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Pro Shine Cleaning Services","Unknown","proshinecleans@gmail.com","(239) 478-8884","Fort Myers","Lee","FL","Both","https://www.proshinecleaningservices.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Your Fort Myers shop covering commercial/janitorial plus residential across Cape Coral and Naples is exactly the mixed book I'm trying to understand.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Commercial/janitorial + residential; Fort Myers based, serves Cape Coral/Naples/Bonita/Lehigh"
"CJA Clean Solutions LLC","Clifton","clifton@cjacleansolutionsllc.com","(239) 955-2943","Fort Myers","Lee","FL","Both","https://cjacleansolutionsllc.com/","Yes","Email","Quick question for CJA Clean Solutions LLC","Hi Clifton,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Family-owned residential and commercial out of Fort Myers is the owner-operated profile I'm hoping to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-owned residential & commercial; Fort Myers HQ"
"SkyLux Cleaning","Unknown","info@skyluxcleaning.com","(239) 980-8688","Cape Coral","Lee","FL","Both","https://skyluxcleaning.com/","Yes","Email","Not a sales pitch — feedback ask for SkyLux Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Cape Coral and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Home, office, and Airbnb work out of Cape Coral means a lot of different job types on one calendar — curious how you keep that straight.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Home, office, Airbnb; Cape Coral & Fort Myers"
"Brightlife Cleaning","Unknown","info@brightlifecleaning.com","(407) 800-7807","Fort Myers","Lee","FL","Both","https://brightlifecleaning.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Interior cleaning plus home watch across Fort Myers and Naples is a scheduling mix most generic tools don't handle well.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning, home watch, exterior; Fort Myers/Naples/SWFL"
"Tidy Masterful Home Services","Unknown","info@tidymasterfulhomeservices.com","(239) 748-0491","Fort Myers","Lee","FL","Residential","https://tidymasterfulhomeservices.com/","Yes","Email","Quick question for Tidy Masterful Home Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Family-run residential across Fort Myers, Naples, and Bonita is the kind of route book I want real feedback on.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-run residential; Fort Myers/Naples/Cape Coral/Estero/Bonita"
"Beltran Cleaning","Unknown","info@beltrancleaningpro.com","(239) 264-2799","Cape Coral","Lee","FL","Both","https://beltrancleaningpro.com/","Yes","Email","Not a sales pitch — feedback ask for Beltran Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Cape Coral and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Bilingual residential and commercial across Cape Coral to Naples is a wide SWFL footprint — coordinating that is who we're building for.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Residential & commercial; Cape Coral/Fort Myers/Naples/Bonita; bilingual"
"Georgina Cleaning Service LLC","Georgina","georginacleaningservice@gmail.com","(239) 895-5850","Fort Myers","Lee","FL","Residential","https://georginacleaningservice.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi Georgina,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Owner-operated maid service in Fort Myers is exactly the peer feedback I'm after — not a franchise call center.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Owner-operated housekeeper/maid service; Fort Myers"
"Wag Cleaning Services LLC","Alessandra","wagcleaningservice001@gmail.com","(857) 615-5626","Lehigh Acres","Lee","FL","Residential","https://wagcleaningservices.com/","Yes","Email","Quick question for Wag Cleaning Services LLC","Hi Alessandra,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Lehigh Acres and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Pet-friendly residential out of Lehigh Acres covering Fort Myers to Naples means flexible schedules and careful crew notes.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Pet-friendly residential; Fort Myers/Punta Gorda/Naples; Lehigh Acres HQ"
"Star Plus Cleaning Services","Unknown","starplusclean@gmail.com","(239) 887-5804","Fort Myers","Lee","FL","Both","https://starpluscleaningservices.com/","Yes","Email","Not a sales pitch — feedback ask for Star Plus Cleaning Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Residential, commercial, and post-construction across the tri-county area is a lot of different job types to schedule.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Residential, commercial, post-construction, janitorial; Tri-County FL"
"Purifyne Cleaning Services","Unknown","purifyneservices@gmail.com","(239) 416-9436","Fort Myers","Lee","FL","Both","https://purifynecleaningservices.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Homes and offices from Fort Myers through Naples is the corridor I'm talking to owner-operators about.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Homes & commercial offices across Lee/Collier corridor"
