"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Abay Cleaning Service","Tesfai","info@abaycleaningservice.com","(630) 698-5611","Wheaton","DuPage","IL","Commercial","https://abaycleaningservice.com/","Yes","Email","Running a cleaning company in Wheaton — 2-minute ask","Hi Tesfai,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Wheaton and DuPage County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-owned and locally operated Wheaton commercial cleaner — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-owned and locally operated Wheaton commercial cleaner. | Tesfai Abay listed as owner on contact page; email and phone in footer"
"Advanced Cleaning Systems","Unknown","","(847) 304-0100","East Dundee","Kane","IL","Commercial","https://advancedcleaningsystems.com/","No","Phone","","","Local family-owned janitorial company operating since 1973. | Phone in header and footer; quote form only, no public email"
"Agnes Cleaning Service","Agnes","","(847) 548-2288","Grayslake","Lake","IL","Both","https://agneshousecleaning.com/","No","Phone","","","Family-owned north-suburban home and office cleaner operating since 1990. | Agnes named throughout site and testimonials; phone on homepage, contact form only"
"Agnes Housekeeping","Agnes","info@agneshousekeeping.com","(847) 532-4469","Schaumburg","Cook","IL","Residential","https://agneshousekeeping.com/","Yes","Email","Running a cleaning company in Schaumburg — 2-minute ask","Hi Agnes,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Schaumburg and Cook County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local house-cleaning service for Schaumburg and nearby suburbs — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local house-cleaning service for Schaumburg and nearby suburbs. | Agnes named in About section; email and phone in site schema/footer"
"AP Janitorial","Unknown","mail@apjanitorial.com","(847) 980-0419","Chicago","Cook","IL","Commercial","https://apjanitorial.com/","Yes","Email","Quick question for AP Janitorial","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Chicago and Cook County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local Chicago janitorial business with roots dating to 1985 — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local Chicago janitorial business with roots dating to 1985. | Email and phone on contact page footer"
"APN Cleaning Service","Anna","anna@apncleaningservice.com","(630) 904-4469","Naperville","DuPage","IL","Both","https://www.apncleaningservice.com/","Yes","Email","Not a sales pitch — feedback ask for APN Cleaning Service","Hi Anna,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Naperville and DuPage County because I want real feedback from people who actually run the routes, not a focus group.

I noticed independent local family-owned company established in 1993 — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Independent local family-owned company established in 1993. | Anna email and Romeoville phone on contact page"
"Bee Line Support","Unknown","info@beelinesupport.com","(312) 233-5463","Chicago","Cook","IL","Commercial","https://www.beelinesupport.com/","Yes","Email","Running a cleaning company in Chicago — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Chicago and Cook County because I want real feedback from people who actually run the routes, not a focus group.

I noticed privately held, certified woman-owned Chicago commercial cleaner — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Privately held, certified woman-owned Chicago commercial cleaner. | Info email and sales phone on contact page footer"
"Best Day Housecleaning","Unknown","","(630) 463-9041","Aurora","Kane","IL","Residential","https://www.bestdayhousecleaning.com/","No","Phone","","","Locally owned, woman-owned Aurora house-cleaning company. | Phone throughout homepage; quote form only, no public email"
"Casita Clean","Unknown","contact@casitaclean.com","(844) 779-7642","Joliet","Will","IL","Residential","https://casitaclean.com/","Yes","Email","Not a sales pitch — feedback ask for Casita Clean","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Joliet and Will County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-run house-cleaning company based in Joliet — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-run house-cleaning company based in Joliet. | Email and phone in homepage footer"
"Chicago Cleaning Services","Unknown","","(773) 717-9140","Chicago","Cook","IL","Both","https://chicagocleaningservices.com/","No","Phone","","","Locally owned and operated; explicitly identifies itself as non-franchise. | Phone on homepage; online quote form, no public email"
