"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"American Janitorial Services","Unknown","info@janitorialfl.com","(305) 871-9840","Miami","Miami-Dade","FL","Commercial","https://janitorialfl.com/","Yes","Email","Quick question for American Janitorial Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page"
"Bright Cleanup - Miami Cleaning Services","Unknown","info@brightcleanupmanagement.com","(786) 822-5220","Miami","Miami-Dade","FL","Both","https://brightcleanupmanagement.com/","Yes","Email","Not a sales pitch — feedback ask for Bright Cleanup - Miami Cleaning Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on homepage"
"Catalina Cleaning","Catalina","info@catalinacleaning.com","(786) 305-6088","Miami","Miami-Dade","FL","Residential","https://catalinacleaning.com/service-areas/miami","Yes","Email","Running a cleaning company in Miami — 2-minute ask","Hi Catalina,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Founder Catalina on Miami page; email and phone on contact page"
"Classy & Clean Miami","Unknown","classycleanmiami@gmail.com","(786) 695-0102","Miami","Miami-Dade","FL","Residential","http://classycleanmiami.com/","Yes","Email","Quick question for Classy & Clean Miami","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on homepage and contact page"
"Clean and Spotless Services","Unknown","info@cleanandspotlessservices.com","(786) 815-6510","Miami","Miami-Dade","FL","Both","https://cleanandspotlessservices.com/","Yes","Email","Not a sales pitch — feedback ask for Clean and Spotless Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page"
"Clean Casa Miami","Unknown","sales@cleancasamiami.com","(954) 237-8725","Miami","Miami-Dade","FL","Residential","https://cleancasamiami.com/","Yes","Email","Running a cleaning company in Miami — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page"
"Clean My Mess Cleaning Services Miami","Unknown","cleaning@cleanmymess.miami","(786) 687-2752","Miami","Miami-Dade","FL","Both","http://cleanmymess.miami/","Yes","Email","Quick question for Clean My Mess Cleaning Services Miami","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page"
"Clean Ready Miami","Unknown","info@cleanreadymiami.com","(786) 275-3076","Miami","Miami-Dade","FL","Residential","https://cleanreadymiami.com/","Yes","Email","Not a sales pitch — feedback ask for Clean Ready Miami","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on contact page"
"Cleaning Lumbi Service","Unknown","cleaninglumbi@gmail.com","(786) 580-7819","Miami","Miami-Dade","FL","Residential","https://www.cleaninglumbi.com/","Yes","Email","Running a cleaning company in Miami — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone in site footer"
"Cleany Miami","Unknown","support@cleanymiami.com","(305) 874-7443","Miami","Miami-Dade","FL","Residential","http://www.cleanymiami.com/","Yes","Email","Quick question for Cleany Miami","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Miami and Miami-Dade County because I want real feedback from people who actually run the routes, not a focus group.

I noticed active local Google Maps listing; website included when publicly listed — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Active local Google Maps listing; website included when publicly listed. | Email and phone on homepage"
