"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"4R Cleaning Company","Ben","ben@4rcleaning.com","(940) 240-6227","Denton","Denton","TX","Both","https://4rcleaning.com/","Yes","Email","Running a cleaning company in Denton — 2-minute ask","Hi Ben,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Denton and Denton County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local residential and commercial cleaner serving Denton County — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local residential and commercial cleaner serving Denton County. | Email and phone on contact page"
"Absolutely Better Cleaning","Lemuel","info@absolutelybettercleaning.com","(214) 238-3493","Plano","Collin","TX","Both","https://www.absolutelybettercleaning.com/","Yes","Email","Quick question for Absolutely Better Cleaning","Hi Lemuel,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Plano and Collin County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local company serving Plano, Frisco and Prosper — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local company serving Plano, Frisco and Prosper. | Owners Lem & Deb on about page; email and phone on contact footer"
"Back II Back Commercial Cleaning Service LLC","Jessica","jessicafrederick@backiibackcommercialcleaningservice.com","(214) 994-8763","Waxahachie","Ellis","TX","Both","https://backiibackcommercialcleaningservice.com/","Yes","Email","Not a sales pitch — feedback ask for Back II Back Commercial Cleaning Service LLC","Hi Jessica,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Waxahachie and Ellis County because I want real feedback from people who actually run the routes, not a focus group.

I noticed woman-owned, family-operated North Texas cleaner — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Woman-owned, family-operated North Texas cleaner. | Site suspended; email and phone from cached contact page via web search"
"Brenda's Cleaning","Brenda","info@brendas-cleaning.com","(817) 479-6590","Fort Worth","Tarrant","TX","Residential","https://brendas-cleaning.com/","Yes","Email","Running a cleaning company in Fort Worth — 2-minute ask","Hi Brenda,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Worth and Tarrant County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-run residential cleaning company serving Fort Worth — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-run residential cleaning company serving Fort Worth. | Founder Brenda Lora on homepage; email and phone in footer"
"Brite Janitorial","Elizabeth","","(817) 498-6836","Fort Worth","Tarrant","TX","Commercial","https://britejanitorial.com/","No","Phone","","","Locally rooted family-owned Fort Worth janitorial company. | Phone on contact page; bid form only, no public email"
"Casandra's Cleaning","Casandra","casandra@casandrascleaning.com","(254) 651-5868","Arlington","Tarrant","TX","Both","https://casandrascleaning.com/","Yes","Email","Not a sales pitch — feedback ask for Casandra's Cleaning","Hi Casandra,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Arlington and Tarrant County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local residential and commercial cleaner serving Arlington and west DFW — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local residential and commercial cleaner serving Arlington and west DFW. | Email and phone on contact page"
"Cowboys Cleaning","Monica","cowboyscleaning@gmail.com","(214) 597-6654","Dallas","Dallas","TX","Both","https://cowboyscleaning.com/","Yes","Email","Running a cleaning company in Dallas — 2-minute ask","Hi Monica,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Dallas and Dallas County because I want real feedback from people who actually run the routes, not a focus group.

I noticed local DFW cleaner with direct owner contact listed publicly — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Local DFW cleaner with direct owner contact listed publicly. | Owner Monica named on about page; email and phone on contact page"
"D&D Cleaning Services LLC","Lady","","(972) 742-5729","Dallas","Dallas","TX","Both","https://ddllc.info/d-home-page","No","Phone","","","Owner-operated Dallas cleaning company led by Lady Dra. | Owner Lady Dra on homepage; phone only, no public email"
"Dallas Cleaning LLC","Unknown","maidsindallas14@gmail.com","(972) 744-9000","Dallas","Dallas","TX","Both","https://www.dallascleaning.net/","Yes","Email","Not a sales pitch — feedback ask for Dallas Cleaning LLC","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Dallas and Dallas County because I want real feedback from people who actually run the routes, not a focus group.

I noticed independent Dallas office and maid cleaning company founded in 2001 — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Independent Dallas office and maid cleaning company founded in 2001. | Email and phone on contact page"
"Dallas Housekeeping Co.","Unknown","info@dallashousekeepingco.com","(214) 761-3451","Dallas","Dallas","TX","Both","https://dallashousekeepingco.com/","Yes","Email","Running a cleaning company in Dallas — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Dallas and Dallas County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-owned Dallas home and business cleaning service — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-owned Dallas home and business cleaning service. | Site unreachable; email and phone from public site pages via web search"
