"Business Name","Owner Name","Email","Phone","City","County","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Truly Kleen of Fort Myers","Unknown","contacttrulykleen@gmail.com","(239) 412-4633","Fort Myers","Lee","Both","https://truly-kleen.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

I noticed you're locally owned and covering Lee and Collier — that kind of ground game is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Bruna's Sparkling Cleaning","Bruna","brunasparklingcleaning@gmail.com","(239) 204-8880","Fort Myers","Lee","Both","https://www.brunasclean.com/","Yes","Email","Not a sales pitch — feedback ask for Bruna's Sparkling Cleaning","Hi Bruna,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Your name is on the door and you're covering a wide SWFL footprint — I'd value hearing how you keep schedules and crews straight day to day.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Flor Cleaning","Flor","noworries@florcleaning.com","(239) 561-6414","Fort Myers","Lee","Both","https://www.florcleaning.com/","Yes","Email","Quick question for Flor Cleaning","Hi Flor,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Twenty years in Fort Myers says you've seen every scheduling headache there is. I'd love your blunt take on whether our tool helps or gets in the way.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Nature's Broom of Southwest Florida","Unknown","naturesbroomswfl@gmail.com","(239) 410-8907","Fort Myers","Lee","Both","https://naturesbroomswfl.com/","Yes","Email","Quick question for Nature's Broom of Southwest Florida","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Family-run eco cleaning is a different rhythm than a big franchise — that's the perspective I'm after.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Green Pro Cleaning","Unknown","greenprocleaningswfl@gmail.com","(239) 878-8197","Fort Myers","Lee","Both","https://www.greenprocleaningswfl.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

You're already spanning Lee, Collier, and Charlotte — coordinating that without drowning in admin is hard. Curious what your current system looks like.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Costa Cleaning Co.","Unknown","info@costacleaning.co","(239) 980-6084","Fort Myers","Lee","Both","https://costacleaning.co/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

You're doing residential and commercial out of Fort Myers with a clear process — I'd like to see if Clean Scheduler fits how you already work, or if it fights it.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Maia's Cleaning LLC","Rosie","maiascleaningllc@gmail.com","(239) 822-5714","Fort Myers","Lee","Both","https://www.maiascleaningllc.com/","Yes","Email","Not a sales pitch — feedback ask for Maia's Cleaning LLC","Hi Rosie,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

You've been serving Lee and Collier since 2013 — that longevity usually means you've already figured out what software is worth your time and what isn't.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Vanguard Janitorial Services","Bob","bob@vjs1.net","(239) 274-0246","Fort Myers","Lee","Commercial","https://www.vanguardjanitorialservices.com/","Yes","Email","Vanguard Janitorial Services — looking for a little feedback from Fort Myers","Hi Bob,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for commercial / janitorial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Family-owned commercial janitorial since 1981 is rare. I'd rather hear from someone who's lived the overnight routes than from another SaaS demo.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"Crystal Clean LLC","Dave Harting","crystalclean@cleaningfortmyers.com","(239) 936-7700","Fort Myers","Lee","Both","https://www.cleaningfortmyers.com/","Yes","Email","Quick question for Crystal Clean LLC","Hi Dave,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

The Harting family's been at this a long time in Fort Myers and Naples. If Clean Scheduler isn't useful to an operation like yours, I need to know that.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
"TEEM Cleaning Services, LLC","Unknown","info@teemcleaning.com","(844) 687-8336","Fort Myers","Lee","Commercial","https://teemcleaning.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for commercial / janitorial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Commercial/janitorial across SWFL has different scheduling pressure than residential — that's a gap I specifically want feedback on.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.

Thanks for reading,
Chris Kendig
Founder/Lead Developer
Clean Scheduler
chris@cleanscheduler.com
(630) 335-7492",""
