"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"24/25 CLEANERS","Unknown","","(425) 494-5199","Seattle","King","WA","Residential","http://www.2425cleaners.com/","No","Phone","","","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | 425-area phone in homepage tel link; no public email; Book Now CTA only"
"ABC Solutions - Always Best Cleaning","Unknown","alwaysbestcleaningsolutions@gmail.com","(425) 675-6379","Seattle","King","WA","Residential","https://alwaysbestcleaning.com/","Yes","Email","Quick question for ABC Solutions - Always Best Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Gmail and phone on about page footer"
"April Lane's Home Cleaning","April","hello@aprillanescleaning.com","(206) 527-4290","Seattle","King","WA","Residential","http://www.aprillanescleaning.com/","Yes","Email","Not a sales pitch — feedback ask for April Lane's Home Cleaning","Hi April,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | April Lane's business; email and phone on contact page"
"Bleach Boys Cleaning","Unknown","","(206) 222-3202","Seattle","King","WA","Residential","http://www.bleachboyscleaning.com/","No","Phone","","","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone in schema and FAQ; online quote form, no public email"
"Capitol Cleaning","Unknown","","(206) 782-2494","Seattle","King","WA","Residential","https://capitolcleaning.biz/","No","Phone","","","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone in homepage footer and tel link; no public email"
"Cleaning Services Seattle","Unknown","info@cleaningservicesseattle.com","(206) 208-6962","Seattle","King","WA","Residential","https://cleaningservicesseattle.com/","Yes","Email","Not a sales pitch — feedback ask for Cleaning Services Seattle","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on contact page"
"Cleaning Services West Seattle","Unknown","cleaningserviceswestseattle@gmail.com","(206) 385-4825","Seattle","King","WA","Residential","https://cleaningserviceswestseattle.com/","Yes","Email","Running a cleaning company in Seattle — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Gmail and phone on homepage footer"
"ClearCoast Cleaning","Unknown","hello@clearcoastcleaningwa.com","(206) 672-8403","Seattle","King","WA","Residential","http://clearcoastcleaningwa.com/","Yes","Email","Quick question for ClearCoast Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone on homepage and about page"
"Diamond Cleaners USA","Jose","jose@diamondcleanersusa.com","(425) 529-5449","Seattle","King","WA","Residential","https://diamondcleanersusa.com/seattle/","Yes","Email","Not a sales pitch — feedback ask for Diamond Cleaners USA","Hi Jose,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Jose email and phone on about and contact pages"
"Emerald City Cleaning","Guacolda","info@emeraldcitycleaning.com","(206) 529-4700","Seattle","King","WA","Both","http://www.emeraldcitycleaning.com/","Yes","Email","Running a cleaning company in Seattle — 2-minute ask","Hi Guacolda,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Seattle and King County because I want real feedback from people who actually run the routes, not a focus group.

I noticed cleaners found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership deta... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Cleaners found in the Seattle Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Owner Guacolda on about page; email and phone in footer"
