"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"00 Clean Inc.","Unknown","info@00clean.com","(813) 778-1649","Tampa","Hillsborough","FL","Residential","http://www.00clean.com/","Yes","Email","Running a cleaning company in Tampa — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Tampa and Hillsborough County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ow... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone in site footer"
"Affordable Cleaning Today LLC","Unknown","","(727) 228-6075","Tampa","Hillsborough","FL","Residential","https://affordablecleaningtoday.com/lander3","No","Phone","","","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on quote lander; online booking form, no public email"
"Aroma Earth Cleaning","Unknown","aromaearthcleaning@gmail.com","(813) 368-2714","Tampa","Hillsborough","FL","Residential","https://aromaearthcleaning.com/","Yes","Email","Not a sales pitch — feedback ask for Aroma Earth Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Tampa and Hillsborough County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ow... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email in header; phone on contact page"
"Best Cleaning Tampa","Unknown","","(813) 550-1144","Tampa","Hillsborough","FL","Residential","https://bestcleaningtampallc.com/","No","Phone","","","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on homepage; quote form available, no email found"
"City Wide Facility Solutions - Tampa Bay","Unknown","","(727) 940-5873","St. Petersburg","Pinellas","FL","Commercial","https://gocitywide.com/tampabay","No","Phone","","","Cleaning service found in the St. Petersburg Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone in header; quote form on homepage, no public email"
"Clean Bean","Unknown","info@hellocleanbean.com","(872) 221-1559","Tampa","Hillsborough","FL","Residential","https://hellocleanbean.com/house-cleaning-services-tampa-bay-fl/","Yes","Email","Running a cleaning company in Tampa — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Tampa and Hillsborough County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ow... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and phone in footer for Tampa Bay location"
"E2E Cleaning Services","Unknown","","(813) 819-0221","Tampa","Hillsborough","FL","Commercial","https://www.e2ecleaning.com/","No","Phone","","","Cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on homepage and contact pages; no public email"
"Enviro-Master of Tampa","Unknown","","(813) 491-8175","Tampa","Hillsborough","FL","Commercial","https://enviro-master.com/commercial-cleaning-locations/tampa-florida/","No","Phone","","","Cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Tampa local phone on location page; contact form, no public email"
"Gloss Cleaning","Unknown","","(813) 649-5449","Tampa","Hillsborough","FL","Residential","https://glosscleaningtampa.com/","No","Phone","","","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Phone on homepage and contact page; quote form, no email found"
"Happy Florida Cleaning Services","Unknown","happyfloridacleaning@gmail.com","(813) 606-5950","Tampa","Hillsborough","FL","Residential","http://www.happyfloridacleaning.com/","Yes","Email","Running a cleaning company in Tampa — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Tampa and Hillsborough County because I want real feedback from people who actually run the routes, not a focus group.

I noticed house cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ow... — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","House cleaning service found in the Tampa Google Maps search area; active listing at research time. Independent/local operator likely; ownership details require enrichment. | Email and Tampa-area phone on homepage"
