"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"24/7 Cleans","Unknown","estimates@247cleans.com","(909) 809-9909","Redlands","San Bernardino","CA","Both","https://247cleans.us/riversidecounty","Yes","Email","Running a cleaning company in Redlands — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Redlands and San Bernardino County because I want real feedback from people who actually run the routes, not a focus group.

Owner-operated cleaning companies in Redlands are exactly who we're trying to learn from — the day-to-day scheduling reality, not a focus group.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone on homepage footer"
"411 Commercial","Unknown","sales@411commercial.com","(909) 947-6611","Ontario","San Bernardino","CA","Commercial","https://411commercial.com/","Yes","Email","Quick question for 411 Commercial","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Ontario and San Bernardino County because I want real feedback from people who actually run the routes, not a focus group.

Commercial/janitorial shops in Ontario juggle crew routes and client SLAs differently than residential — I'd value your blunt take on whether our tool helps or gets in the way.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone in homepage footer; contact form on homepage"
"All in One Cleaning Solutions","Frank","f.chavez@allin1cleaningsol.com","(951) 570-2991","Riverside","Riverside","CA","Both","https://www.allinonecleaningsolutions.com/","Yes","Email","Not a sales pitch — feedback ask for All in One Cleaning Solutions","Hi Frank,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Riverside and Riverside County because I want real feedback from people who actually run the routes, not a focus group.

Owner-operated cleaning companies in Riverside are exactly who we're trying to learn from — the day-to-day scheduling reality, not a focus group.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Listed .com site has SSL errors; email and phone from active .net site footer; Frank named in customer review"
"Audry’s Cleaning Company","Audry","","(909) 681-7429","San Bernardino","San Bernardino","CA","Both","https://audryscleaningcompany.com/","No","Phone","","","Phone on homepage and FAQs; locally owned per site copy; no public email found"
"Bella Pulizia","Unknown","booking@bellapulizia.com","(909) 907-4042","San Bernardino","San Bernardino","CA","Both","https://bellapulizia.com/","Yes","Email","Quick question for Bella Pulizia","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Bernardino and San Bernardino County because I want real feedback from people who actually run the routes, not a focus group.

Owner-operated cleaning companies in San Bernardino are exactly who we're trying to learn from — the day-to-day scheduling reality, not a focus group.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone on homepage footer"
"Bright Spot Cleaning","Unknown","miranda@brightspotholdings.com","(909) 244-3336","San Bernardino","San Bernardino","CA","Residential","https://brightspotcleanings.com/","Yes","Email","Not a sales pitch — feedback ask for Bright Spot Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in San Bernardino and San Bernardino County because I want real feedback from people who actually run the routes, not a focus group.

Residential cleaning in San Bernardino usually means texts, calendars, and last-minute schedule changes — I'd love your honest read on whether Clean Scheduler would help or get in the way.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone on contact page header"
"California Elite Building Maintenance","Unknown","contact@cebminc.com","(909) 975-4440","Ontario","San Bernardino","CA","Commercial","https://cebminc.com/","Yes","Email","Running a cleaning company in Ontario — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Ontario and San Bernardino County because I want real feedback from people who actually run the routes, not a focus group.

Commercial/janitorial shops in Ontario juggle crew routes and client SLAs differently than residential — I'd value your blunt take on whether our tool helps or gets in the way.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone on homepage contact section; family owned and operated since 1959 per About copy"
"Citrus Janitorial Services","Ann","","(951) 525-0806","Riverside","Riverside","CA","Commercial","https://citrusjanitorial.com/","No","Phone","","","Ann Macias listed as Administrator on About page; phone on homepage and contact section; contact form only, no public email"
"Crecia’s Cleaning Services","Ana","","(661) 874-8882","Moreno Valley","Riverside","CA","Both","https://creciascleaningsvcs.com/","No","Phone","","","Phone on homepage; Ana named as primary contact in customer reviews; contact form only, no public email"
"CS Cleaning Services","Unknown","info@cscleaningie.com","(951) 706-5204","Riverside","Riverside","CA","Both","https://cscleaningie.com/","Yes","Email","Running a cleaning company in Riverside — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Riverside and Riverside County because I want real feedback from people who actually run the routes, not a focus group.

Owner-operated cleaning companies in Riverside are exactly who we're trying to learn from — the day-to-day scheduling reality, not a focus group.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email and phone on contact page; mother-and-daughter-owned per About copy"
