"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"9 Cleaning & Services","Patricia","contact@9cleaningservices.com","(832) 703-7045","Houston","Harris","TX","Both","https://9cleaningservices.com/","Yes","Email","Running a cleaning company in Houston — 2-minute ask","Hi Patricia,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Houston and Harris County because I want real feedback from people who actually run the routes, not a focus group.

I noticed houston family-owned cleaning company operated by parents and children — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Houston family-owned cleaning company operated by parents and children. | Email and phone on homepage footer"
"A&A Cleaning Services","Mona","mona@aacleaningservices.com","(281) 997-0917","Pearland","Brazoria","TX","Both","https://aacleaningservices.com/","Yes","Email","Quick question for A&A Cleaning Services","Hi Mona,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Pearland and Brazoria County because I want real feedback from people who actually run the routes, not a focus group.

I noticed pearland-based residential and commercial cleaning company — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Pearland-based residential and commercial cleaning company. | Email and phone in site footer"
"ABC Janitorial LLC","Jose","abcinfo@a-b-cjanitorial.com","(713) 896-7881","Houston","Harris","TX","Commercial","https://www.abcjanitorialllc.com/","Yes","Email","Not a sales pitch — feedback ask for ABC Janitorial LLC","Hi Jose,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Houston and Harris County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-owned Houston commercial cleaner led by Jose S. Garcia — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-owned Houston commercial cleaner led by Jose S. Garcia. | Email and phone on homepage Contact"
"All Clean by Anabelle","Anabelle","anabelle@allcleanbyanabelle.com","(866) 887-1995","Spring","Harris","TX","Residential","https://allcleanbyanabelle.com/","Yes","Email","Running a cleaning company in Spring — 2-minute ask","Hi Anabelle,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Spring and Harris County because I want real feedback from people who actually run the routes, not a focus group.

I noticed owner-branded local cleaner serving Spring and The Woodlands — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Owner-branded local cleaner serving Spring and The Woodlands. | Site error; email found via web search"
"Angie's 5 Star Touch","Unknown","","(281) 712-4929","Katy","Harris","TX","Residential","https://angies5startouch.com/","No","Phone","","","Locally owned family cleaning company based in Katy. | Phone on contact page; no public email"
"Baytown Cleaning Service","Unknown","","(281) 612-7644","Baytown","Harris","TX","Both","https://www.baytowncleaningservice.com/","No","Phone","","","Local Baytown residential and commercial cleaner. | Phone on homepage; contact form available"
"Bee Maids","Unknown","","(281) 671-4550","Katy","Harris","TX","Both","https://beemaids.com/","No","Phone","","","Locally owned home and commercial cleaner serving west Houston since 2009. | Phone on homepage; no email found"
"C&S Janitorial Services","Unknown","cnsjanitorial@cnsjanitorial.com","(281) 440-3399","Houston","Harris","TX","Commercial","https://cnsjanitorial.com/","Yes","Email","Quick question for C&S Janitorial Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Houston and Harris County because I want real feedback from people who actually run the routes, not a focus group.

I noticed family-operated Houston janitorial company founded in 1991 — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-operated Houston janitorial company founded in 1991. | Email and phone in site footer"
"Caring Commercial Cleaning","Unknown","gcastellon@caringtx.com","","Houston","Harris","TX","Commercial","https://caringtx.com/","Yes","Email","Not a sales pitch — feedback ask for Caring Commercial Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Houston and Harris County because I want real feedback from people who actually run the routes, not a focus group.

I noticed independent owner-operated commercial cleaner serving Greater Houston — that kind of local operation is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Independent owner-operated commercial cleaner serving Greater Houston. | Email on Houston homepage footer"
"Clairve Cleaning","Junaid","","(346) 680-5394","Houston","Harris","TX","Residential","https://clairvecleaning.com/","No","Phone","","","Founder-led Houston house-cleaning company started as a one-person operation. | Phone on homepage; quote form only"
